,New (Shinjitai),Radical,Strokes,Grade,English meaning,Readings
1821,虹,虫,9,S,rainbow,"にじ
niji"
1822,尿,尸,7,S,urine,"ニョウ
nyō"
1823,妊,女,7,S,pregnancy,"ニン
nin"
1824,忍,心,7,S,endure,"ニン、しの-ぶ、しの-ばせる
nin, shino-bu, shino-baseru"
1825,寧,宀,14,S,rather,"ネイ
nei"
1826,捻,手,11,S,twist,"ネン
nen"
1827,粘,米,11,S,sticky,"ネン、ねば-る
nen, neba-ru"
1828,悩,心,10,S,trouble,"ノウ、なや-む、なや-ます
nō, naya-mu, naya-masu"
1829,濃,水,16,S,concentrated,"ノウ、こ-い
nō, ko-i"
1830,把,手,7,S,grasp,"ハ
ha"
1831,覇,雨,19,S,hegemony,"ハ
ha"
1832,婆,女,11,S,old woman,"バ
ba"
1833,罵,网,15,S,insult,"バ、ののし-る
ba, nonoshi-ru"
1834,杯,木,8,S,counter for cupfuls,"ハイ、さかずき
hai, sakazuki"
1835,排,手,11,S,repudiate,"ハイ
hai"
1836,廃,广,12,S,abolish,"ハイ、すた-れる、すた-る
hai, suta-reru, suta-ru"
1837,輩,車,15,S,comrade,"ハイ
hai"
1838,培,土,11,S,cultivate,"バイ、つちか-う
bai, tsuchika-u"
1839,陪,阜,11,S,obeisance,"バイ
bai"
1840,媒,女,12,S,mediator,"バイ
bai"
1841,賠,貝,15,S,compensation,"バイ
bai"
1842,伯,人,7,S,chief,"ハク
haku"
1843,拍,手,8,S,clap,"ハク、（ヒョウ）
haku, (hyō)"
1844,泊,水,8,S,overnight,"ハク、と-まる、と-める
haku, to-maru, to-meru"
1845,迫,辵,8,S,urge,"ハク、せま-る
haku, sema-ru"
1846,剝 [7],刀,10,S,peel,"ハク、は-がす、は-ぐ、は-がれる、は-げる
haku, ha-gasu, ha-gu, ha-gareru, ha-geru"
1847,舶,舟,11,S,liner,"ハク
haku"
1848,薄,艸,16,S,dilute,"ハク、うす-い、うす-める、うす-まる、うす-らぐ、うす-れる
haku, usu-i, usu-meru, usu-maru, usu-ragu, usu-reru"
1849,漠,水,13,S,vague,"バク
baku"
1850,縛,糸,16,S,truss,"バク、しば-る
baku, shiba-ru"
1851,爆,火,19,S,explode,"バク
baku"
1852,箸 [7],竹,15,S,chopsticks,"はし
hashi"
1853,肌,肉,6,S,texture,"はだ
hada"
1854,鉢,金,13,S,bowl,"ハチ、（ハツ）
hachi, (hatsu)"
1855,髪,髟,14,S,hair of the head,"ハツ、かみ
hatsu, kami"
1856,伐,人,6,S,fell,"バツ
batsu"
1857,抜,手,7,S,slip out,"バツ、ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる
batsu, nu-ku, nu-keru, nu-kasu, nu-karu"
1858,罰,网,14,S,penalty,"バツ、バチ
batsu, bachi"
1859,閥,門,14,S,clique,"バツ
batsu"
1860,氾,水,5,S,spread out,"ハン
han"
1861,帆,巾,6,S,sail,"ハン、ほ
han, ho"
1862,汎,水,6,S,pan-,"ハン
han"
1863,伴,人,7,S,consort,"ハン、バン、ともな-う
han, ban, tomona-u"
1864,阪,阜,7,S,heights,"ハン
han"
1865,畔,田,10,S,paddy-ridge,"ハン
han"
1866,般,舟,10,S,generally,"ハン
han"
1867,販,貝,11,S,marketing,"ハン
han"
1868,斑,文,12,S,blemish,"ハン
han"
1869,搬,手,13,S,conveyor,"ハン
han"
1870,煩,火,13,S,anxiety,"ハン、（ボン）、わずら-う、わずら-わす
han, (bon), wazura-u, wazura-wasu"
1871,頒,頁,13,S,partition,"ハン
han"
1872,範,竹,15,S,pattern,"ハン
han"
1873,繁,糸,16,S,luxuriant,"ハン
han"
1874,藩,艸,18,S,clan,"ハン
han"
1875,蛮,虫,12,S,barbarian,"バン
ban"
1876,盤,皿,15,S,tray,"バン
ban"
1877,妃,女,6,S,queen,"ヒ
hi"
1878,彼,彳,8,S,he,"ヒ、かれ、（かの）
hi, kare, (kano)"
1879,披,手,8,S,expose,"ヒ
hi"
1880,卑,十,9,S,lowly,"ヒ、いや-しい、いや-しむ、いや-しめる
hi, iya-shii, iya-shimu, iya-shimeru"
1881,疲,疒,10,S,exhausted,"ヒ、つか-れる
hi, tsuka-reru"
1882,被,衣,10,S,incur,"ヒ、こうむ-る
hi, kōmu-ru"
1883,扉,戶,12,S,front door,"ヒ、とびら
hi, tobira"
1884,碑,石,14,S,tombstone,"ヒ
hi"
1885,罷,网,15,S,quit,"ヒ
hi"
1886,避,辵,16,S,evade,"ヒ、さ-ける
hi, sa-keru"
1887,尾,尸,7,S,tail,"ビ、お
bi, o"
1888,眉,目,9,S,eyebrow,"ビ、（ミ）、まゆ
bi, (mi), mayu"
1889,微,彳,13,S,delicate,"ビ
bi"
1890,膝,肉,15,S,knee,"ひざ
hiza"
1891,肘,肉,7,S,elbow,"ひじ
hiji"
1892,匹,匸,4,S,equal,"ヒツ、ひき
hitsu, hiki"
1893,泌,水,8,S,ooze,"ヒツ、ヒ
hitsu, hi"
1894,姫,女,10,S,princess,"ひめ
hime"
1895,漂,水,14,S,drift,"ヒョウ、ただよ-う
hyō, tadayo-u"
1896,苗,艸,8,S,seedling,"ビョウ、なえ、（なわ）
byō, nae, (nawa)"
1897,描,手,11,S,sketch,"ビョウ、えが-く、か-く
byō, ega-ku, ka-ku"
1898,猫,犬,11,S,cat,"ビョウ、ねこ
byō, neko"
1899,浜,水,10,S,seacoast,"ヒン、はま
hin, hama"
1900,賓,貝,15,S,V.I.P.,"ヒン
hin"
1901,頻,頁,17,S,repeatedly,"ヒン
hin"
1902,敏,攴,10,S,cleverness,"ビン
bin"
1903,瓶,瓦,11,S,flower pot,"ビン
bin"
1904,扶,手,7,S,aid,"フ
fu"
1905,怖,心,8,S,dreadful,"フ、こわ-い
fu, kowa-i"
1906,阜,阜,8,S,mound,"（フ）[6]
(fu)"
1907,附,阜,8,S,affixed,"フ
fu"
1908,訃,言,9,S,obituary,"フ
fu"
1909,赴,走,9,S,proceed,"フ、おもむ-く
fu, omomu-ku"
1910,浮,水,10,S,floating,"フ、う-く、う-かれる、う-かぶ、う-かべる
fu, u-ku, u-kareru, u-kabu, u-kaberu"
1911,符,竹,11,S,token,"フ
fu"
1912,普,日,12,S,universal,"フ
fu"
1913,腐,肉,14,S,rot,"フ、くさ-る、くさ-れる、くさ-らす
fu, kusa-ru, kusa-reru, kusa-rasu"
1914,敷,攴,15,S,spread,"フ、し-く
fu, shi-ku"
1915,膚,肉,15,S,skin,"フ
fu"
1916,賦,貝,15,S,levy,"フ
fu"
1917,譜,言,19,S,musical score,"フ
fu"
1918,侮,人,8,S,scorn,"ブ、あなど-る
bu, anado-ru"
1919,舞,舛,15,S,dance,"ブ、ま-う、まい
bu, ma-u, mai"
1920,封,寸,9,S,seal,"フウ、ホウ
fū, hō"
1921,伏,人,6,S,prostrated,"フク、ふ-せる、ふ-す
fuku, fu-seru, fu-su"
1922,幅,巾,12,S,breadth,"フク、はば
fuku, haba"
1923,覆,襾,18,S,capsize,"フク、おお-う、くつがえ-す、くつがえ-る
fuku, oo-u, kutsugae-su, kutsugae-ru"
1924,払,手,5,S,pay,"フツ、はら-う
futsu, hara-u"
1925,沸,水,8,S,seethe,"フツ、わ-く、わ-かす
futsu, wa-ku, wa-kasu"
1926,紛,糸,10,S,distract,"フン、まぎ-れる、まぎ-らす、まぎ-らわす、まぎ-らわしい
fun, magi-reru, magi-rasu, magi-rawasu, magi-rawashii"
1927,雰,雨,12,S,atmosphere,"フン
fun"
1928,噴,口,15,S,erupt,"フン、ふ-く
fun, fu-ku"
1929,墳,土,15,S,tomb,"フン
fun"
1930,憤,心,15,S,aroused,"フン、いきどお-る
fun, ikidoo-ru"
1931,丙,一,5,S,third class,"ヘイ
hei"
1932,併,人,8,S,join,"ヘイ、あわ-せる
hei, awa-seru"
1933,柄,木,9,S,design,"ヘイ、がら、え
hei, gara, e"
1934,塀,土,12,S,fence,"ヘイ
hei"
1935,幣,巾,15,S,cash,"ヘイ
hei"
1936,弊,廾,15,S,abuse,"ヘイ
hei"
1937,蔽 [7],艸,15,S,cover,"ヘイ
hei"
1938,餅 [8],食,15,S,mochi rice cake,"ヘイ、もち
hei, mochi"
1939,壁,土,16,S,wall,"ヘキ、かべ
heki, kabe"
1940,璧,玉,18,S,sphere,"ヘキ
heki"
1941,癖,疒,18,S,mannerism,"ヘキ、くせ
heki, kuse"
1942,蔑,艸,14,S,ignore,"ベツ、さげす-む
betsu, sagesu-mu"
1943,偏,人,11,S,partial,"ヘン、かたよ-る
hen, katayo-ru"
1944,遍,辵,12,S,everywhere,"ヘン
hen"
1945,哺,口,10,S,suckle,"ホ
ho"
1946,捕,手,10,S,catch,"ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まる
ho, to-raeru, to-rawareru, to-ru, tsuka-maeru, tsuka-maru"
1947,舗,舌,15,S,pavement,"ホ
ho"
1948,募,力,12,S,recruit,"ボ、つの-る
bo, tsuno-ru"
1949,慕,心,14,S,pining,"ボ、した-う
bo, shita-u"
1950,簿,竹,19,S,register,"ボ
bo"
1951,芳,艸,7,S,perfume,"ホウ、かんば-しい
hō, kanba-shii"
1952,邦,邑,7,S,home country,"ホウ
hō"
1953,奉,大,8,S,observance,"ホウ、（ブ）、たてまつ-る
hō, (bu), tatematsu-ru"
1954,抱,手,8,S,embrace,"ホウ、だ-く、いだ-く、かか-える
hō, da-ku, ida-ku, kaka-eru"
1955,泡,水,8,S,bubbles,"ホウ、あわ
hō, awa"
1956,胞,肉,9,S,placenta,"ホウ
hō"
1957,俸,人,10,S,salary,"ホウ
hō"
1958,倣,人,10,S,emulate,"ホウ、なら-う
hō, nara-u"
1959,峰,山,10,S,summit,"ホウ、みね
hō, mine"
1960,砲,石,10,S,cannon,"ホウ
hō"
1961,崩,山,11,S,crumble,"ホウ、くず-れる、くず-す
hō, kuzu-reru, kuzu-su"
1962,蜂,虫,13,S,bee,"ホウ、はち
hō, hachi"
1963,飽,食,13,S,sated,"ホウ、あ-きる、あ-かす
hō, a-kiru, a-kasu"
1964,褒,衣,15,S,praise,"ホウ、ほ-める
hō, ho-meru"
1965,縫,糸,16,S,sew,"ホウ、ぬ-う
hō, nu-u"
1966,乏,丿,4,S,scarce,"ボウ、とぼ-しい
bō, tobo-shii"
1967,忙,心,6,S,busy,"ボウ、いそが-しい
bō, isoga-shii"
1968,坊,土,7,S,boy,"ボウ、（ボッ）
bō, (bo')"
1969,妨,女,7,S,disturb,"ボウ、さまた-げる
bō, samata-geru"
1970,房,戶,8,S,tassel,"ボウ、ふさ
bō, fusa"
1971,肪,肉,8,S,obese,"ボウ
bō"
1972,某,木,9,S,so-and-so,"ボウ
bō"
1973,冒,冂,9,S,risk,"ボウ、おか-す
bō, oka-su"
1974,剖,刀,10,S,divide,"ボウ
bō"
1975,紡,糸,10,S,spinning,"ボウ、つむ-ぐ
bō, tsumu-gu"
1976,傍,人,12,S,bystander,"ボウ、かたわ-ら
bō, katawa-ra"
1977,帽,巾,12,S,cap,"ボウ
bō"
1978,貌,豸,14,S,appearance,"ボウ
bō"
1979,膨,肉,16,S,swell,"ボウ、ふく-らむ、ふく-れる
bō, fuku-ramu, fuku-reru"
1980,謀,言,16,S,conspire,"ボウ、（ム）、はか-る
bō, (mu), haka-ru"
1981,頰 [7],頁,16,S,cheek,"ほお
hoo"
1982,朴,木,6,S,crude,"ボク
boku"
1983,睦,目,13,S,harmonious,"ボク
boku"
1984,僕,人,14,S,me,"ボク
boku"
1985,墨,土,14,S,black ink,"ボク、すみ
boku, sumi"
1986,撲,手,15,S,slap,"ボク
boku"
1987,没,水,7,S,drown,"ボツ
botsu"
1988,勃,力,9,S,rise,"ボツ
botsu"
1989,堀,土,11,S,ditch,"ほり
hori"
1990,奔,大,8,S,bustle,"ホン
hon"
1991,翻,飛,18,S,flip,"ホン、ひるがえ-る、ひるがえ-す
hon, hirugae-ru, hirugae-su"
1992,凡,几,3,S,mediocre,"ボン、（ハン）
bon, (han)"
1993,盆,皿,9,S,basin,"ボン
bon"
1994,麻,麻,11,S,hemp,"マ、あさ
ma, asa"
1995,摩,手,15,S,chafe,"マ
ma"
1996,磨,石,16,S,grind,"マ、みが-く
ma, miga-ku"
1997,魔,鬼,21,S,witch,"マ
ma"
1998,昧,日,9,S,foolish,"マイ
mai"
1999,埋,土,10,S,bury,"マイ、う-める、う-まる、う-もれる
mai, u-meru, u-maru, u-moreru"
2000,膜,肉,14,S,membrane,"マク
maku"
2001,枕,木,8,S,pillow,"まくら
makura"
2002,又,又,2,S,or again,"また
mata"
2003,抹,手,8,S,rub,"マツ
matsu"
2004,慢,心,14,S,ridicule,"マン
man"
2005,漫,水,14,S,cartoon,"マン
man"
2006,魅,鬼,15,S,fascination,"ミ
mi"
2007,岬,山,8,S,headland,"みさき
misaki"
2008,蜜,虫,14,S,honey,"ミツ
mitsu"
2009,妙,女,7,S,exquisite,"ミョウ
myō"
