,New (Shinjitai),Radical,Strokes,Grade,English meaning,Readings
166,図,囗,7,2,diagram,"ズ、ト、はか-る
zu, to, haka-ru"
167,数,攴,13,2,number,"スウ、（ス）、かず、かぞ-える
sū, (su), kazu, kazo-eru"
168,西,襾,6,2,west,"セイ、サイ、にし
sei, sai, nishi"
169,声,耳,7,2,voice,"セイ、（ショウ）、こえ、（こわ）
sei, (shō), koe, (kowa)"
170,星,日,9,2,star,"セイ、（ショウ）、ほし
sei, (shō), hoshi"
171,晴,日,12,2,clear up,"セイ、は-れる、は-らす
sei, ha-reru, ha-rasu"
172,切,刀,4,2,cut,"セツ、（サイ）、き-る、き-れる
setsu, (sai), ki-ru, ki-reru"
173,雪,雨,11,2,snow,"セツ、ゆき
setsu, yuki"
174,船,舟,11,2,boat,"セン、ふね、（ふな）
sen, fune, (funa)"
175,線,糸,15,2,line,"セン
sen"
176,前,刀,9,2,in front,"ゼン、まえ
zen, mae"
177,組,糸,11,2,association,"ソ、く-む、くみ
so, ku-mu, kumi"
178,走,走,7,2,run,"ソウ、はし-る
sō, hashi-ru"
179,多,夕,6,2,many,"タ、おお-い
ta, oo-i"
180,太,大,4,2,thick,"タイ、タ、ふと-い、ふと-る
tai, ta, futo-i, futo-ru"
181,体,骨,7,2,body,"タイ、テイ、からだ
tai, tei, karada"
182,台,至,5,2,pedestal,"ダイ、タイ
dai, tai"
183,地,土,6,2,ground,"チ、ジ
chi, ji"
184,池,水,6,2,pond,"チ、いけ
chi, ike"
185,知,矢,8,2,know,"チ、し-る
chi, shi-ru"
186,茶,艸,9,2,tea,"チャ、サ
cha, sa"
187,昼,日,9,2,daytime,"チュウ、ひる
chū, hiru"
188,長,長,8,2,long,"チョウ、なが-い
chō, naga-i"
189,鳥,鳥,11,2,bird,"チョウ、とり
chō, tori"
190,朝,月,12,2,morning,"チョウ、あさ
chō, asa"
191,直,目,8,2,straight,"チョク、ジキ、ただ-ちに、なお-す、なお-る
choku, jiki, tada-chini, nao-su, nao-ru"
192,通,辵,10,2,pass through,"ツウ、（ツ）、とお-る、とお-す、かよ-う
tsū, (tsu), too-ru, too-su, kayo-u"
193,弟,弓,7,2,younger brother,"テイ、（ダイ）、（デ）、おとうと
tei, (dai), (de), otōto"
194,店,广,8,2,shop,"テン、みせ
ten, mise"
195,点,黑,9,2,point,"テン
ten"
196,電,雨,13,2,electricity,"デン
den"
197,刀,刀,2,2,sword,"トウ、かたな
tō, katana"
198,冬,冫,5,2,winter,"トウ、ふゆ
tō, fuyu"
199,当,田,6,2,hit,"トウ、あ-たる、あ-てる
tō, a-taru, a-teru"
